company_id,vendor_id,date,monthly_spend,company_size,company_region,vendor_contract_type,vendor_category
C001,V_A,2023-01-01,3344.09,SMB,NA,subscription,Analytics
C001,V_A,2023-02-01,3451.89,SMB,NA,subscription,Analytics
C001,V_A,2023-03-01,3469.54,SMB,NA,subscription,Analytics
C001,V_A,2023-04-01,3379.38,SMB,NA,subscription,Analytics
C001,V_A,2023-05-01,3440.24,SMB,NA,subscription,Analytics
C001,V_A,2023-06-01,3659.73,SMB,NA,subscription,Analytics
C001,V_A,2023-07-01,3819.14,SMB,NA,subscription,Analytics
C001,V_A,2023-08-01,3700.69,SMB,NA,subscription,Analytics
C001,V_A,2023-09-01,3487.7,SMB,NA,subscription,Analytics
C001,V_A,2023-10-01,3382.79,SMB,NA,subscription,Analytics
C001,V_A,2023-11-01,3389.74,SMB,NA,subscription,Analytics
C001,V_A,2023-12-01,2998.4,SMB,NA,subscription,Analytics
C001,V_A,2024-01-01,2961.58,SMB,NA,subscription,Analytics
C001,V_A,2024-02-01,2751.87,SMB,NA,subscription,Analytics
C001,V_A,2024-03-01,2628.62,SMB,NA,subscription,Analytics
C001,V_A,2024-04-01,2537.01,SMB,NA,subscription,Analytics
C001,V_A,2024-05-01,2483.77,SMB,NA,subscription,Analytics
C001,V_A,2024-06-01,2553.05,SMB,NA,subscription,Analytics
C001,V_A,2024-07-01,2728.53,SMB,NA,subscription,Analytics
C001,V_A,2024-08-01,270.689,SMB,NA,subscription,Analytics
C001,V_A,2024-09-01,293.689,SMB,NA,subscription,Analytics
C001,V_A,2024-10-01,282.493,SMB,NA,subscription,Analytics
C001,V_A,2024-11-01,288.40900000000005,SMB,NA,subscription,Analytics
C001,V_A,2024-12-01,303.616,SMB,NA,subscription,Analytics
C001,V_B,2023-01-01,2143.78,SMB,NA,usage,DevTools
C001,V_B,2023-02-01,2041.16,SMB,NA,usage,DevTools
C001,V_B,2023-03-01,1990.21,SMB,NA,usage,DevTools
C001,V_B,2023-04-01,2014.72,SMB,NA,usage,DevTools
C001,V_B,2023-05-01,1902.32,SMB,NA,usage,DevTools
C001,V_B,2023-06-01,1879.03,SMB,NA,usage,DevTools
C001,V_B,2023-07-01,1861.31,SMB,NA,usage,DevTools
C001,V_B,2023-08-01,1921.52,SMB,NA,usage,DevTools
C001,V_B,2023-09-01,1945.42,SMB,NA,usage,DevTools
C001,V_B,2023-10-01,1984.98,SMB,NA,usage,DevTools
C001,V_B,2023-11-01,1912.19,SMB,NA,usage,DevTools
C001,V_B,2023-12-01,1897.76,SMB,NA,usage,DevTools
C001,V_B,2024-01-01,1985.04,SMB,NA,usage,DevTools
C001,V_B,2024-02-01,2151.3,SMB,NA,usage,DevTools
C001,V_B,2024-03-01,2011.13,SMB,NA,usage,DevTools
C001,V_B,2024-04-01,2179.67,SMB,NA,usage,DevTools
C001,V_B,2024-05-01,2329.5,SMB,NA,usage,DevTools
C001,V_B,2024-06-01,2416.49,SMB,NA,usage,DevTools
C001,V_B,2024-07-01,2445.93,SMB,NA,usage,DevTools
C001,V_B,2024-08-01,2410.98,SMB,NA,usage,DevTools
C001,V_B,2024-09-01,2573.3,SMB,NA,usage,DevTools
C001,V_B,2024-10-01,2791.53,SMB,NA,usage,DevTools
C001,V_B,2024-11-01,2992.1,SMB,NA,usage,DevTools
C001,V_B,2024-12-01,3138.51,SMB,NA,usage,DevTools
C001,V_C,2023-01-01,3797.74,SMB,NA,subscription,Security
C001,V_C,2023-02-01,3796.84,SMB,NA,subscription,Security
C001,V_C,2023-03-01,3929.52,SMB,NA,subscription,Security
C001,V_C,2023-04-01,3669.14,SMB,NA,subscription,Security
C001,V_C,2023-05-01,3749.0,SMB,NA,subscription,Security
C001,V_C,2023-06-01,3835.87,SMB,NA,subscription,Security
C001,V_C,2023-07-01,3976.54,SMB,NA,subscription,Security
C001,V_C,2023-08-01,3737.23,SMB,NA,subscription,Security
C001,V_C,2023-09-01,3603.5,SMB,NA,subscription,Security
C001,V_C,2023-10-01,3515.3,SMB,NA,subscription,Security
C001,V_C,2023-11-01,3278.89,SMB,NA,subscription,Security
C001,V_C,2023-12-01,3630.41,SMB,NA,subscription,Security
C001,V_C,2024-01-01,3530.19,SMB,NA,subscription,Security
C001,V_C,2024-02-01,3596.67,SMB,NA,subscription,Security
C001,V_C,2024-03-01,3544.41,SMB,NA,subscription,Security
C001,V_C,2024-04-01,3864.43,SMB,NA,subscription,Security
C001,V_C,2024-05-01,4131.27,SMB,NA,subscription,Security
C001,V_C,2024-06-01,4259.27,SMB,NA,subscription,Security
C001,V_C,2024-07-01,3813.94,SMB,NA,subscription,Security
C001,V_C,2024-08-01,3824.46,SMB,NA,subscription,Security
C001,V_C,2024-09-01,3962.63,SMB,NA,subscription,Security
C001,V_C,2024-10-01,4165.53,SMB,NA,subscription,Security
C001,V_C,2024-11-01,4040.65,SMB,NA,subscription,Security
C001,V_C,2024-12-01,4408.87,SMB,NA,subscription,Security
C002,V_A,2023-01-01,4813.28,MidMarket,EU,subscription,Analytics
C002,V_A,2023-02-01,5046.01,MidMarket,EU,subscription,Analytics
C002,V_A,2023-03-01,5058.22,MidMarket,EU,subscription,Analytics
C002,V_A,2023-04-01,5556.61,MidMarket,EU,subscription,Analytics
C002,V_A,2023-05-01,5603.53,MidMarket,EU,subscription,Analytics
C002,V_A,2023-06-01,5445.93,MidMarket,EU,subscription,Analytics
